apelido,posicao,clube,jogos,status,preco,variacao_pr,pontos,media_pts,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
Hugo,Atacante,avaí,4,Nulo,9.43,0.00,0.00,5.90,1,3,0,0,4,0,2,1,0,5,4,0,1,0,0,0,0,0
Maikon Leite,Atacante,sport,4,Provável,9.37,4.32,16.90,7.58,6,11,0,1,2,2,3,2,0,1,2,0,0,0,0,0,0,0
Cristóvão Borges,Técnico,flamengo,4,Provável,9.33,0.53,4.35,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuel ,Atacante,sport,3,Provável,9.26,-0.30,3.80,1.63,1,1,0,0,1,4,0,1,0,2,4,0,0,0,0,0,0,0
Valdivia,Meia,internacional,3,Contundido,9.25,0.00,0.00,2.10,2,6,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0
Nilton,Meia,internacional,4,Nulo,9.17,-0.51,-0.20,1.65,3,9,1,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0
Eduardo Da Silva,Atacante,flamengo,6,Provável,9.15,1.99,7.70,3.00,2,3,1,0,0,2,2,2,0,0,3,0,1,0,0,0,0,0
Leandro Donizete,Meia,atlético-mg,2,Nulo,9.10,0.00,0.00,-0.30,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vagner Love,Atacante,corinthians,4,Dúvida,9.09,2.22,8.70,1.48,4,9,0,0,0,2,1,2,0,1,3,0,1,0,0,0,0,0
Magrão,Goleiro,sport,2,Contundido,9.09,0.00,0.00,-0.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Marcelo Fernandes,Técnico,santos,6,Provável,9.08,0.00,0.00,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcelinho Paraíba,Meia,joinville,6,Nulo,9.08,2.26,9.10,1.93,4,18,0,0,2,2,1,1,0,3,2,0,0,0,0,0,0,0
Wendel,Meia,sport,6,Nulo,9.04,0.00,0.00,2.30,6,8,0,0,0,5,0,0,0,11,10,0,2,0,0,0,0,0
Alan Kardec,Atacante,são paulo,0,Contundido,9.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keirrison,Atacante,coritiba,0,Nulo,9.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
França,Meia,figueirense,0,Nulo,9.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danilo Fernandes,Goleiro,sport,5,Provável,8.87,-0.67,3.70,6.62,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3
Edmílson,Atacante,chapecoense,4,Provável,8.87,1.67,7.60,2.67,4,7,0,0,3,5,0,1,0,4,4,0,0,0,0,0,0,0
Rafael Galhardo,Lateral,grêmio,5,Provável,8.80,-0.31,1.70,4.38,14,13,1,1,3,3,0,2,0,6,10,0,2,0,1,0,0,0
Apodi,Lateral,chapecoense,6,Provável,8.77,-0.20,-0.80,2.58,10,19,0,0,5,1,1,2,0,5,6,0,1,1,1,0,0,0
Canteros,Meia,flamengo,6,Provável,8.77,1.13,3.90,0.73,6,27,0,0,2,6,1,1,0,4,8,0,1,1,0,0,0,0
Guti,Zagueiro,joinville,7,Provável,8.69,-1.18,-1.20,2.33,4,5,0,0,0,0,0,0,0,9,5,0,1,0,1,0,0,0
Rafael Costa,Atacante,joinville,4,Provável,8.68,-0.46,1.40,5.08,5,2,0,0,4,4,1,1,0,3,2,0,0,0,0,0,0,0
Thalles,Atacante,vasco,3,Nulo,8.65,-0.06,1.00,1.23,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Régis,Meia,sport,5,Nulo,8.62,0.00,0.00,1.66,3,9,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0
Ricardinho,Meia,figueirense,5,Nulo,8.58,1.39,6.00,3.24,6,10,2,0,0,1,0,1,0,5,5,0,0,0,0,0,0,0
Ángel Romero,Atacante,corinthians,5,Dúvida,8.58,-0.84,-1.40,2.28,13,13,0,0,0,2,1,2,0,2,6,0,0,0,0,0,0,0
Eduardo,Lateral,atlético-pr,7,Provável,8.51,-1.48,-2.80,3.82,5,28,0,0,1,2,0,0,0,11,9,0,2,0,4,0,0,0
Samuel Xavier,Lateral,sport,6,Provável,8.50,-0.63,0.50,5.65,9,14,0,0,0,1,1,0,0,7,4,0,0,0,3,0,0,0
Marcelo Oliveira,Lateral,grêmio,7,Provável,8.46,-0.02,1.40,3.03,15,15,1,0,1,1,1,1,0,5,11,0,2,0,1,0,0,0
Paulinho,Atacante,flamengo,6,Nulo,8.46,-0.38,-0.70,-0.38,3,14,0,0,3,2,0,0,0,0,4,0,1,0,0,0,0,0
Rhodolfo,Zagueiro,grêmio,6,Provável,8.35,2.15,10.10,3.72,0,5,0,0,0,2,1,1,0,7,4,0,0,0,1,0,0,0
Fabrício,Lateral,cruzeiro,2,Contundido,8.34,0.00,0.00,-1.45,6,6,0,0,0,0,0,2,0,2,5,0,2,0,0,0,0,0
Bruno,Lateral,são paulo,6,Provável,8.30,-1.06,-0.50,3.65,5,21,1,0,0,1,0,0,0,5,13,0,1,0,4,0,0,0
Antônio Carlos,Zagueiro,fluminense,6,Provável,8.30,-2.04,-2.90,3.47,5,14,0,0,1,0,0,0,0,5,0,0,1,0,3,0,0,0
Paulo Roberto,Meia,figueirense,6,Nulo,8.29,0.72,3.20,4.18,5,21,0,0,0,2,0,0,0,20,9,0,1,0,0,0,0,0
Wellington Paulista,Atacante,coritiba,4,Provável,8.29,-0.02,0.30,0.08,8,17,0,1,1,1,0,1,0,1,10,0,0,0,0,0,0,0
Ernando,Zagueiro,internacional,3,Nulo,8.27,-0.42,3.60,4.23,2,2,0,0,1,0,0,0,0,4,1,0,0,0,1,0,0,0
Alex Alves,Zagueiro,goiás,6,Nulo,8.16,0.00,0.00,2.03,2,5,0,0,0,1,0,1,0,5,14,0,2,0,3,0,0,0
Otávio ,Meia,atlético-pr,5,Provável,8.07,-0.13,1.30,5.96,6,12,0,0,3,3,0,0,0,19,6,0,2,0,0,0,0,0
Charles,Meia,cruzeiro,6,Provável,8.07,1.33,5.70,2.42,2,17,0,0,0,1,2,0,0,7,12,0,2,0,0,0,0,0
Rodrigo,Meia,goiás,7,Provável,8.06,0.91,5.50,3.67,6,8,0,0,2,1,1,0,0,12,12,0,0,0,0,0,0,0
Hélio Dos Anjos,Técnico,goiás,7,Provável,8.05,1.45,5.89,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felipe,Zagueiro,corinthians,0,Nulo,8.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo,Zagueiro,ponte preta,7,Suspenso,8.00,0.00,2.90,3.11,6,8,0,0,1,1,0,0,0,10,13,0,3,0,3,0,0,0
Seymour,Meia,cruzeiro,0,Nulo,8.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allione,Meia,palmeiras,0,Contundido,8.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vilches,Zagueiro,atlético-pr,0,Nulo,8.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleberson,Zagueiro,atlético-pr,0,Contundido,8.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramiro,Meia,grêmio,0,Contundido,8.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Santos,Meia,coritiba,0,Contundido,8.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vinícius Eutrópio,Técnico,chapecoense,7,Provável,7.98,0.40,1.99,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Coutinho ,Atacante,atlético-pr,7,Provável,7.96,-0.35,0.10,2.33,2,13,0,0,4,3,2,5,0,3,7,0,1,0,0,0,0,0
Jorge Henrique,Atacante,internacional,1,Nulo,7.95,-1.05,2.10,2.10,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Cléo,Atacante,atlético-pr,3,Nulo,7.95,-0.42,0.00,2.37,2,6,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Marcelo Cirino,Atacante,flamengo,5,Dúvida,7.94,-0.03,-1.40,-0.08,7,20,1,0,1,1,0,3,0,2,5,0,2,0,0,0,0,0
Rafael Forster,Lateral,goiás,6,Provável,7.93,1.67,7.80,3.00,6,23,0,0,1,0,0,0,0,7,10,0,3,0,4,0,0,0
Danilo,Meia,corinthians,5,Nulo,7.89,0.16,2.10,0.06,2,5,0,0,1,4,0,0,0,0,2,0,1,0,0,0,0,0
Marquinhos Pedroso,Lateral,figueirense,4,Contundido,7.81,0.00,0.00,3.90,8,6,0,0,1,0,0,0,0,7,5,0,1,0,1,0,0,0
Josimar,Meia,ponte preta,7,Provável,7.79,0.20,2.80,2.09,8,22,1,0,1,4,0,0,0,12,16,0,2,0,0,0,0,0
Dagoberto,Atacante,vasco,4,Contundido,7.79,0.00,0.00,-0.70,7,9,0,0,2,0,0,0,0,2,6,0,3,0,0,0,0,0
Emanuel Biancucchi,Meia,vasco,2,Provável,7.77,0.48,2.40,1.10,5,4,0,0,2,1,0,0,0,1,3,0,1,0,0,0,0,0
Danilo,Meia,sport,3,Nulo,7.74,-0.24,0.00,0.07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo,Lateral,avaí,7,Provável,7.63,-0.27,2.40,2.63,20,25,0,0,0,4,0,0,0,8,7,0,1,0,1,0,0,0
Chiquinho,Lateral,santos,5,Contundido,7.58,0.00,0.00,1.26,8,10,0,0,0,0,0,0,0,4,5,0,2,0,1,0,0,0
Lucas,Meia,vasco,3,Nulo,7.58,0.00,0.00,3.37,1,5,0,0,1,0,1,1,0,3,1,0,1,0,0,0,0,0
Mendoza,Atacante,corinthians,7,Provável,7.54,0.90,4.90,3.25,13,19,0,0,0,3,1,0,0,9,7,0,0,0,0,0,0,0
Manoel,Zagueiro,cruzeiro,6,Provável,7.49,-0.31,-0.60,2.82,9,13,0,0,0,1,1,0,0,3,5,0,0,0,1,0,0,0
Cereceda,Lateral,figueirense,6,Nulo,7.45,0.46,3.90,2.20,4,17,0,0,0,1,0,0,0,13,15,0,2,0,1,0,0,0
Gabriel,Meia,flamengo,7,Provável,7.45,-1.66,-0.50,2.99,9,16,0,0,2,3,2,1,0,3,7,0,0,0,0,0,0,0
Fellipe Bastos,Meia,grêmio,5,Nulo,7.35,0.00,0.00,0.64,3,2,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0
Luís Cáceres,Meia,coritiba,3,Provável,7.35,0.08,2.30,2.23,0,2,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0
Paulo André,Zagueiro,cruzeiro,1,Nulo,7.30,0.00,0.00,-4.20,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Clayton,Atacante,figueirense,6,Nulo,7.30,0.07,3.50,0.72,8,22,1,0,2,2,0,9,0,5,7,0,1,0,0,0,0,0
Vladimir,Goleiro,santos,6,Provável,7.26,0.00,0.00,1.88,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,7
Márcio Araújo,Meia,flamengo,5,Provável,7.25,0.73,4.10,1.60,10,9,0,0,0,1,0,0,0,5,3,0,1,0,0,0,0,0
Alisson,Atacante,cruzeiro,4,Contundido,7.20,0.00,0.00,2.07,3,6,1,0,2,2,0,1,0,1,2,0,0,0,0,0,0,0
Braian Rodríguez,Atacante,grêmio,4,Nulo,7.16,-0.41,0.50,2.62,4,2,0,0,0,1,1,0,0,2,2,0,1,0,0,0,0,0
Gabriel Xavier,Meia,cruzeiro,5,Contundido,7.16,0.00,0.00,2.48,3,4,0,0,0,3,1,0,0,5,9,0,1,0,0,0,0,0
Alan Costa,Zagueiro,internacional,3,Nulo,7.15,-1.25,-0.40,5.23,0,5,0,0,0,2,0,0,0,4,2,0,0,0,2,0,0,0
Carlinhos,Lateral,coritiba,1,Contundido,7.12,0.00,0.00,1.00,3,3,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0
Paulinho,Atacante,coritiba,3,Contundido,7.11,0.00,0.00,5.63,2,4,0,0,0,2,1,1,0,6,0,0,1,0,0,0,0,0
William,Atacante,avaí,1,Nulo,7.08,-0.92,1.00,1.00,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Malcom,Atacante,corinthians,2,Nulo,7.05,0.00,0.00,1.60,6,5,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
Eduardo Costa,Meia,avaí,1,Provável,7.02,-0.98,1.70,1.70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gabriel,Atacante,santos,4,Provável,7.01,0.00,0.00,0.55,1,6,0,0,1,4,0,2,0,1,2,0,0,0,0,0,0,0
Murilo Henrique,Meia,goiás,0,Nulo,7.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Paulo,Lateral,palmeiras,0,Nulo,7.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho ,Atacante,joinville,0,Nulo,7.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Meia,internacional,0,Nulo,7.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferron,Zagueiro,figueirense,0,Contundido,7.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinga,Meia,avaí,0,Nulo,7.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcelo Costa,Meia,joinville,4,Contundido,6.99,0.00,0.00,0.32,4,5,0,0,0,2,0,1,0,2,3,0,1,0,0,0,0,0
Anderson Pico,Lateral,flamengo,3,Dúvida,6.95,0.00,0.00,1.77,2,14,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0
Hélder,Meia,coritiba,6,Provável,6.94,0.01,0.50,1.02,9,16,0,2,3,1,0,1,0,6,16,0,3,0,0,0,0,0
Bruno Aguiar,Zagueiro,joinville,5,Nulo,6.93,0.00,0.00,1.58,5,7,0,0,0,1,0,0,0,4,6,0,1,0,1,0,0,0
Rafael Carioca,Meia,atlético-mg,5,Provável,6.92,0.00,0.00,4.02,8,13,0,0,0,2,0,0,0,13,3,0,1,0,0,0,0,0
